step,x,y
0,0.359375,-16.65625
1,0.01863184412435992,-16.044781193171794
2,-0.06327426381714477,-15.349589572478711
3,-0.07524277788970193,-14.649691898049873
4,-0.027405407771102293,-13.951328392402466
5,-0.022164598827729684,-13.25134801130481
6,-0.02391118997852857,-12.551350190294379
7,-0.028716178405666752,-11.851366681855634
8,-0.032877870295684515,-11.151379053164517
9,-0.033088298794835214,-10.451379084793198
10,-0.029586119006713346,-9.751387845750356
11,-0.024944101792309874,-9.051403237579446
12,-0.020194958817863373,-8.35141934802126
13,-0.016339817683512937,-7.6514299638968755
14,-0.011909985487420654,-6.951443980760988
15,-0.0055444555438978705,-6.25147292419612
16,0.001608106998547778,-5.551509467400641
17,-0.016642482423410463,-4.851747424999261
18,-0.007158763888500074,-4.151811671459873
19,-0.0036143663211461704,-3.451820644913186
20,-0.0072760403669189875,-2.7518302220192847
21,-0.01088792225072508,-2.0518395404318386
22,-0.010815624724317907,-1.3518395441653617
23,-0.005711167611385506,-0.6518581554716463
24,0.013511370824201696,0.047877861906402086
25,0.08179949802026906,0.7445389930771125
26,0.15290355105652517,1.440918353513518
27,0.26791358809218724,2.1314056389728924
28,0.4330129695683971,2.8116572058480984
29,0.6509270018997336,3.4768740686177497
30,0.9210194217668193,4.12266821904832
31,1.2410621543346076,4.745221549559484
32,1.6090214419321378,5.340709553360331
33,2.0227651136345117,5.9053476446420285
34,2.4799424397267034,6.435431498864352
35,2.977803686095729,6.927502814187528
36,3.5130776325439568,7.378592386505199
37,4.0819519560178215,7.786491888946858
38,4.680442878232851,8.149546452375281
39,5.304754626871139,8.466145316100665
40,5.951215563671665,8.734637880599175
41,6.61617359263827,8.953340463375072
42,7.295897377367874,9.120599473514625
43,7.986495267135025,9.234943492375072
44,8.683883572252409,9.295355013507246
45,9.383856348754009,9.301528517912475
46,10.08222817607956,9.253812788870903
47,10.774887266257767,9.152702033787685
48,11.456977007954002,8.995369315407926
49,12.125933603752706,8.789221133418833
50,12.77700084820731,8.53209967729685
51,13.406172252041184,8.225271802751998
52,14.009725499025748,7.870696735869977
53,14.58431119123505,7.470882676201789
54,15.126766898017284,7.028455500070635
