step,x,y
0,-6.625,2.0625
1,-5.979407592293216,1.7919257160937898
2,-5.302340675629119,1.6142169927317327
3,-4.627493814450828,1.4282554000363363
4,-3.9701446949180528,1.1876475550904884
5,-3.290325616385417,1.0207762859545524
6,-2.6109967908999687,0.8519202914960757
7,-1.933068937111094,0.6775246921903304
8,-1.2559199253556006,0.5001290443334596
9,-0.5774326592962483,0.3279226861601744
10,0.10308213369803199,0.16391166056752784
11,0.7816143450336345,-0.008117517713417677
12,1.457592954724257,-0.18992213602861083
13,2.131113381276123,-0.38063195490900376
14,2.712617408637543,-0.7703152444691912
15,3.390362547562419,-0.9454195752657204
16,4.063924327283728,-1.1359832887545749
17,4.738500827675364,-1.3229232393252701
18,5.41074539968452,-1.5180827520430153
19,6.078098813587554,-1.7293631840568795
20,6.737733344878578,-1.9636328686694466
21,7.399011431840384,-2.1932222667350687
22,8.055176038931227,-2.437041889409946
23,8.708683557973592,-2.6878962745721258
24,9.329135948219584,-3.011993222163485
25,9.981986383405436,-3.264552738471311
26,10.623215010153922,-3.545312151916792
27,11.261403259763748,-3.8329156255744428
28,11.895027955532694,-4.130438305233845
29,12.495141943031452,-4.490803678165734
30,13.174551371041618,-4.659335067321879
31,13.81053148324124,-4.951788989994419
32,14.435714533187909,-5.266663812835786
33,15.051623380237986,-5.599314218104506
34,15.649951745330123,-5.962636619734478
35,16.290174991530574,-6.245681130411787
36,16.894168534947088,-6.59950566250526
37,17.489848703310667,-6.967153778260446
38,18.07889664325818,-7.345336967262272
39,18.65333133331651,-7.745367949634376
40,19.237838506124024,-8.130532024979631
41,19.816210561750108,-8.524848858592982
42,20.38842737368993,-8.928045981764052
43,20.96013989508288,-9.33195784452933
44,21.478831014856677,-9.802021161825843
45,22.03900902251408,-10.221783713439233
46,22.65237211574996,-10.559105097072283
47,23.224477071419017,-10.962460919763497
48,23.79792870440774,-11.363899862347006
49,24.377387780335408,-11.756617546345394
50,24.95758640554419,-12.14824179904923
51,25.53977903300614,-12.536895558234642
52,26.128572810476626,-12.915474331559345
53,26.71629162143998,-13.295719777606797
54,27.19492643575535,-13.8065120196439
55,27.777774601744802,-14.194182002235705
56,28.370035258768144,-14.567313767356657
57,28.96257457592352,-14.940002857115187
58,29.553835138955986,-15.314717343894829
59,30.15778838507072,-15.668610656218581
60,30.76550650500649,-16.015999036423988
61,31.352609587002217,-16.39719448643765
62,31.94616616466727,-16.768261312104606
63,32.532228750330034,-17.151054527413184
64,33.11544857410098,-17.53816515392786
65,33.75197741787656,-17.829422825143105
66,34.30088020498586,-18.263825553384585
67,34.86587568377544,-18.677081054191685
68,35.42023931836797,-19.104492987391225
69,35.960481603628224,-19.54962024247316
70,36.50857556937359,-19.985043030936872
71,37.0442521980861,-20.43565433733209
72,37.54243469982153,-20.927400404896062
73,38.069628317661646,-21.38790761364382
74,38.58707739194933,-21.85933783702669
75,39.07816119412275,-22.358173179843234
76,39.54408507987909,-22.88058578754113
77,39.92379250050386,-23.468652343912503
78,40.32931452191312,-24.039223890830282
79,40.80315677911911,-24.55446511131437
80,41.20780592147865,-25.125656035251094
81,41.591459147041874,-25.711155994700224
82,41.95843469362594,-26.307250742378248
83,42.21101552939212,-26.96009292959018
84,42.45679629496604,-27.61552547018753
85,42.740931331065404,-28.25526548086438
86,43.036748079962535,-28.889688408470192
87,43.355387732118764,-29.512961039085205
88,43.61333778668575,-30.163700441111
89,43.889893378842025,-30.80675331953321
90,44.17878281569422,-31.44436048172261
91,44.47595389724269,-32.078150153689045
92,44.77808173078631,-32.709591973810454
93,45.09852571598727,-33.331938864498056
94,45.373482896928124,-33.97567681479232
95,45.67154231594749,-34.609049203465716
96,45.97330637029023,-35.24066495335376
97,46.26744248433826,-35.875868815442715
98,46.55894440500043,-36.51228584086729
99,46.89121207035172,-37.12840125096673
100,47.160453350371355,-37.77455071752489
101,47.40734161551653,-38.42956688872496
102,47.643082342223224,-39.08867712971034
103,47.85385434582472,-39.75619129622503
104,48.09871805268624,-40.41196699344325
105,48.303194580161886,-41.08143644734798
106,48.47431891793763,-41.76019742222854
107,48.61381523167206,-42.44615717210787
108,48.72105964514268,-43.1378931302446
109,48.85521948256809,-43.824916519964326
110,48.92050818736978,-44.52186514434443
111,48.944281887585426,-45.221461321562444
112,48.92265813330106,-45.921127251310814
113,48.90194513122789,-46.620820735305855
114,48.804295177361006,-47.3139761915419
115,48.725673221571924,-48.00954688390026
116,48.56560196955844,-48.690999152425974
117,48.353497846737014,-49.358091230839555
118,48.094770801145984,-50.00852210024824
119,47.796476671508486,-50.641783983061195
120,47.453779075912635,-51.252159570689685
121,47.195726305813146,-51.90285824737804
122,46.79137178383544,-52.4742577753409
123,46.354702876093405,-53.02135947065118
124,45.8903725008083,-53.54518893010109
125,45.40053625781582,-54.04524938149773
126,44.88747904179176,-54.52145552707508
127,44.305092060005855,-54.90981799107786
128,43.75136892500389,-55.33805938300954
129,43.1904984537441,-55.75689624202368
130,42.619851152433036,-56.162311655527404
131,42.01283911553194,-56.510932347766385
132,41.433523941247564,-56.90386227643543
133,40.84866358619708,-57.288489843167476
134,40.25436189463871,-57.65836211762295
135,39.6543416882127,-58.01888361750955
136,39.05506336775667,-58.38063697911299
137,38.41727636436968,-58.669129159788035
138,37.80823609258452,-59.01419429471746
139,37.203422265071175,-59.3666148305105
140,36.60252465285752,-59.725672012079016
141,36.00844970906156,-60.09590837057698
142,35.386313431272406,-60.41676106553007
143,34.76407505005005,-60.737415703628116
144,34.14868310371815,-61.07102138761721
145,33.539059940045455,-61.41505568578193
146,32.92382441996854,-61.748949763051485
147,32.30863519396585,-62.0829291279982
148,31.698728713863222,-62.426460910412615
149,31.104365453392894,-62.79623423909261
150,30.498327929453488,-63.14654627082632
151,29.88928032057468,-63.491598455457876
152,29.30981545577825,-63.884307597783916
153,28.701551360164583,-64.23073910614782
154,28.09646811210439,-64.58269686343827
155,27.49249392068772,-64.9365544281484
156,26.86582479867556,-65.24846116343397
157,26.230713802398526,-65.54279774357309
