step,x,y
0,-0.2925790361339902,-4.081263182485226
1,-0.2681572080435434,-3.38168933054912
2,-0.2232110891270455,-2.683133787736421
3,-0.18333692429679369,-1.984270388366351
4,-0.11418980536293645,-1.2876939920226715
5,-0.05319225875609465,-0.5903566996684291
6,0.015444388972296871,0.1062701807981582
7,0.08043824971119243,0.8032463626481933
8,0.15102589203520833,1.4996782579194659
9,0.2003935631627099,2.19793525433801
10,0.2152498264092363,2.897777587611977
11,0.24069509488604982,3.597314962104679
12,0.2862240288884164,4.295832761569094
13,0.3188695068980535,4.9950711134674455
14,0.3653711134653816,5.693524834616283
15,0.38915542262607405,6.393120651240245
16,0.41768085046548065,7.092539195437194
17,0.4501635866323743,7.791785126316389
18,0.5010019270456378,8.489936587780178
19,0.5365466264028107,9.189033558412728
20,0.6045111977606711,9.885726329324083
21,0.6777128238237387,10.581888323361191
22,0.7573648353209793,11.277341813584975
23,0.7927291840541763,11.976447930593457
24,0.8543495442987575,12.673730463863384
25,0.946547995984911,13.36763207468921
26,1.0579246442109231,14.058714734166308
27,1.1857929159387641,14.746936867699759
28,1.3003965717847905,15.437491718574565
29,1.423430449817109,16.12659451559133
30,1.5399617068811784,16.816826698358163
31,1.6559813781509045,17.507145056710645
32,1.7494666149551779,18.20087447838717
33,1.8302815530325927,18.896193790490283
34,1.8993494027788462,19.59277805110161
35,1.9623966103006711,20.28993301925697
36,2.0064820948321316,20.98854340427399
37,2.054463024882624,21.686897061350038
38,2.115357840061097,22.384243332211494
39,2.1785868642375465,23.08138183387504
40,2.3046705890096457,23.769933135048447
41,2.472783482262546,24.449446236557268
42,2.721887775792423,25.103622857161355
43,3.0003960052758947,25.745832453874126
44,3.379164757475528,26.334504036640894
45,3.8462589591626877,26.855870516911956
46,4.404290015380546,27.2784830348245
47,5.017498935233519,27.616084605633567
48,5.663364137190881,27.886007077652064
49,6.344988628162752,28.045343367640687
50,7.023406636529813,28.217822369038743
51,7.71558639763407,28.32216401133775
52,8.39709193165421,28.4820083327881
53,9.082678456501647,28.623327535119614
54,9.7740479645867,28.732909482949676
55,10.472023277905755,28.786111569348286
56,11.16745291376678,28.865971581658595
57,11.851560617835709,28.717658907778247
58,12.341431100900522,28.2176319986805
59,12.942289186023963,27.858508675096814
60,13.56621304433333,27.541146076430316
61,14.182538581964556,27.2092683404136
62,14.784146025547608,26.85140176775633
63,15.35260276233258,26.4429205094301
64,15.900649401853547,26.007438155126533
65,16.422769674456486,25.541186698359873
66,16.918136647008332,25.046604488302922
67,17.388051346216006,24.52777872229996
68,17.830763239661735,23.98555535559423
69,18.218956040833802,23.40305527051425
70,18.57970176568078,22.803169846450096
71,18.909077412401803,22.18550352605768
72,19.23344367283509,21.56519188736909
73,19.555075698666144,20.943458150179435
74,19.8449052175025,20.306277759700343
75,20.13257751237041,19.668120529258324
76,20.420920420162926,19.03026602584414
77,20.69619044805191,18.38666179050537
78,20.95172419074413,17.734969757144746
79,21.200649827818697,17.080725133775918
80,21.443022895029515,16.4240248244332
81,21.67398696606585,15.763225612954916
82,21.886399588269217,15.096231701491932
83,22.080194559533183,14.423592489794608
84,22.27232581437303,13.750476169301882
85,22.42104842611934,13.066457467251013
86,22.558942079532898,12.380173750157082
87,22.672641298875234,11.689469408545605
88,22.759570133156892,10.994887967841613
89,22.862638200183692,10.302517421414803
90,22.94921741135117,9.6078923137534
91,22.988876076218318,8.909016652207688
92,23.047911973069876,8.211510549809342
93,23.033374731729406,7.5116615170785614
94,22.917515119899555,6.821316277110445
95,22.75285429592155,6.140958420503435
96,22.518093556493746,5.48149849357587
97,22.167306747239923,4.8757356567712975
98,21.76004464173907,4.3064048413194955
99,21.27819208982627,3.798646908624081
100,20.773805411638623,3.3132665640829853
101,20.239219639608386,2.8613616489262275
102,19.684127684979053,2.43489603260319
103,19.159644713193376,1.9713039572752529
104,18.65907148682756,1.4819917409494006
105,18.156000986042663,0.9952473817216501
106,17.68548618483959,0.47696577694599207
107,17.327986655132452,-0.12485985083931228
108,16.89097596918832,-0.6716885812208088
109,16.481343772666875,-1.239316508276037
110,16.098325801698202,-1.8252322308121718
111,15.763084371705691,-2.4397346178023094
112,15.506331571803688,-3.090947332468172
113,15.266371324537898,-3.7485331289481
114,15.085624418064032,-4.424795323514769
115,14.92298682996857,-5.105639663241913
116,14.817325237505033,-5.797619162850152
117,14.760107940290926,-6.495276801595341
118,14.752385210155497,-7.195234199898449
119,14.807783966210367,-7.89303859786938
120,14.890937660955046,-8.588082095105566
121,14.966560834359775,-9.283985203048186
122,15.063156239828244,-9.977288403417536
123,15.209266254769041,-10.661869927805975
124,15.399404921296524,-11.335551816749971
125,15.621069474210588,-11.99952834192342
126,15.897802750101025,-12.642504775406753
127,16.243944134847634,-13.250934016786308
128,16.641037936440114,-13.827403020928624
129,17.14375525586738,-14.3145121429412
130,17.774162950793784,-14.61879184679536
131,18.435283645036172,-14.848834076928139
132,19.110616670375578,-15.033022309141622
133,19.79293123461841,-15.189377147321041
134,20.48877228182704,-15.26556925333996
135,21.18866342336006,-15.277913887947875
136,21.8876634017319,-15.240510275339334
137,22.582419173795934,-15.154985909315927
138,23.276978413809573,-15.067879869848642
139,23.97696605156204,-15.063719702337476
140,24.67348201370548,-15.133472942257908
141,25.37192393533429,-15.180151439571512
142,26.057229366682332,-15.322827526442703
143,26.746932973737138,-15.442447484708834
144,27.409584918691376,-15.668040923993685
145,28.018318903199724,-16.01364609771739
146,28.591923834654718,-16.414865965882605
147,29.13355838584176,-16.858298049702
148,29.648773770756694,-17.332168398159208
149,30.145836026083646,-17.825046795260647
150,30.71794886481972,-18.228391436669643
151,31.343807354983525,-18.541921579223565
152,32.02037081617615,-18.7215375110867
153,32.720359650728476,-18.717583841642412
154,33.418375763896904,-18.664919757512486
155,34.116688925588335,-18.616353017777197
156,34.80188878300817,-18.473170772397953
157,35.478436761893555,-18.293496533103337
158,36.12845870279615,-18.0337438115676
159,36.761102534336004,-17.734141103945362
160,37.3861788136316,-17.41905437769055
161,37.98101094139292,-17.05003576056812
162,38.56445952322588,-16.663270001539345
163,39.10772690058055,-16.221839874903004
164,39.634643703255335,-15.761015957273957
165,40.115239476029856,-15.25206831439577
166,40.58129850572668,-14.729776268852229
167,41.015276298323876,-14.180537454189189
168,41.38234083330204,-13.584497499856203
169,41.72159284811994,-12.972200128930936
170,42.04351851379148,-12.350618383878903
171,42.32940141719402,-11.711657535671334
172,42.555830845920084,-11.049290783934211
173,42.75792977035653,-10.37909974792908
174,42.90873845357946,-9.69553794306827
175,43.059261022320946,-9.011913077883085
176,43.17479289862598,-8.321512914530382
177,43.21452515413648,-7.622641432874385
178,43.191126966910645,-6.923032595855766
179,43.184746655762346,-6.223061673867108
180,43.128387293382424,-5.52533420395344
181,43.05879161393041,-4.8288024807694825
182,42.98519852642888,-4.132681760296379
183,42.90179557499261,-3.437668128997165
184,42.849163095453086,-2.739649632037721
185,42.798224176731935,-2.0415055018185235
186,42.834025568617456,-1.3424216296407574
187,42.93123792118954,-0.6492046661239952
188,43.085845090320525,0.0335080283920095
189,43.21326764168354,0.7218128252691924
190,43.4897374563894,1.3649025869327605
191,43.77015806881462,2.0062794497264433
192,44.12385628916161,2.6103469698956463
193,44.55342152799419,3.163043727247004
194,45.04189831729919,3.6644322256295183
195,45.59081163605705,4.0988216459544615
196,46.16167946484668,4.503926474428543
197,46.76414520378992,4.860346217708248
198,47.394749099760816,5.1642190963702435
199,48.054430999956345,5.3983553612982025
200,48.72816978195774,5.588292334074108
201,49.40872821639978,5.752122176623627
202,50.10113714535473,5.854932074510292
203,50.80058354022447,5.882766238836021
204,51.50057834270547,5.885463737602415
205,52.19995580389578,5.855948203065742
206,52.89767377710692,5.799471394921602
207,53.59356845087836,5.723770648448828
208,54.28420681456911,5.609671346967367
209,54.971795113476674,5.47843746717483
210,55.64757467255051,5.295894355724487
211,56.311862969589065,5.075165883574611
212,56.96245283491915,4.816838906412371
213,57.60404175268996,4.536903805730655
214,58.22832761362177,4.220253898355608
215,58.81167379585106,3.833333710618503
216,59.36886954796496,3.409620489410789
217,59.87027780225966,2.9211639790384236
218,60.29386871627611,2.3638752409836252
219,60.69446170575283,1.7898323359825223
220,61.078181274326816,1.2043758536600608
221,61.401853272967195,0.5837016740004394
222,61.7805249281708,-0.005032372531068918
223,62.10399975914512,-0.6258093322566486
224,62.363853885233844,-1.275790742109781
225,62.58197110665726,-1.9409410091310986
226,62.74087172065649,-2.622667196739192
227,62.81891529341114,-3.318303021543874
228,62.831409981166274,-4.018191500358822
229,62.70356914916694,-4.706418731492347
230,62.53119386504568,-5.384863100194833
231,62.38641137361984,-6.069726612273354
232,62.21539512892944,-6.748514829651935
233,62.01716516818811,-7.419860405837918
234,61.7913454875616,-8.08243528601505
235,61.56212463388645,-8.743841212992148
236,61.30034657597095,-9.393050153468161
237,61.039573115099316,-10.042663270719524
238,60.778059953923645,-10.69197896168341
239,60.51351488472063,-11.340065303431462
240,60.24624264093302,-11.987031722730594
241,60.02234783463722,-12.650259523500258
242,59.72584132348082,-13.284360374187164
243,59.478117761930946,-13.93906109745929
244,59.24199991656499,-14.598036334550745
245,58.98932435586966,-15.250841865338668
246,58.771023128079115,-15.915931764483993
247,58.5325962594438,-16.574075083460002
248,58.27084758898151,-17.22329587295401
249,57.9226317548721,-17.830540249523683
250,57.557486551053614,-18.427757948632106
251,57.175547315479484,-19.014377433757726
252,56.72283286040725,-19.548277819755576
