s,x,y,curvature,heading,velocity,throttle
0.0,0.3437887939973291,-16.557472116936825,0.0,1.7272964459235265,10.0825,1.0
0.09999999999999955,0.3298461002979687,-16.457615810589125,0.0,1.7095269818150258,10.165,1.0
0.2008249999999991,0.3173629138995475,-16.356735224957685,-0.15486529191384552,1.6939126887578124,10.247499999999999,1.0
0.3024749999999995,0.30627455735430975,-16.254861901785592,-0.14460018850372214,1.679214079596409,10.329999999999998,1.0
0.40494999999999953,0.2962867705651535,-16.152045881073573,-0.1129961417208359,1.6676347999735663,10.412499999999998,1.0
0.5082499999999999,0.2873150940222498,-16.048308112421026,-0.10231310723007743,1.6570658559966993,10.494999999999997,1.0
0.6123749999999989,0.2792726857326243,-15.943666714452043,-0.09184609870842955,1.6475023809686842,10.577499999999997,1.0
0.7173249999999995,0.27214889108276674,-15.838131875774065,-0.0886752701440899,1.6381959113670619,10.659999999999997,1.0
0.8230999999999997,0.26598520372267914,-15.731710219340203,-0.09025394502695565,1.6286493003318356,10.742499999999996,1.0
0.9297,0.2593403219355211,-15.62449092923327,0.03792259801537124,1.6326918492802742,10.824999999999996,1.0
1.0371249999999996,0.2532263450671344,-15.516413726332505,-0.050130740307099665,1.627306554502784,10.907499999999995,1.0
1.1453750000000005,0.24797680759400606,-15.407465123857218,-0.07726420246636868,1.6189427045857996,10.989999999999995,1.0
1.2544500000000003,0.24304144561342075,-15.297675997792199,-0.02955321989380405,1.615719187125883,11.072499999999994,1.0
1.3643500000000004,0.23839046132954483,-15.187048722809077,-0.026439244166473395,1.6128135141919875,11.154999999999994,1.0
1.4750750000000008,0.2339976758637897,-15.075585249258987,-0.02372980137920797,1.6101860319342747,11.237499999999994,1.0
1.5866250000000002,0.22984009181605117,-14.963287185518395,-0.0213702255557622,1.6078021832735294,11.319999999999993,1.0
1.699000000000001,0.23218900754060062,-14.850111558306,-0.5139709431387596,1.550044698538311,11.237499999999994,0.0
1.8122000000000003,0.23390346975763934,-14.73774963751294,0.048537282523253705,1.5555391189199432,11.319999999999993,1.0
1.9245749999999995,0.2373428217660894,-14.624601898438039,-0.13464237495466613,1.5404086820344127,11.402499999999993,1.0
2.0377749999999986,0.24005092983046603,-14.51060906192753,0.058615599589805036,1.5470439679079786,11.484999999999992,1.0
2.151799999999998,0.24160279997751075,-14.395769546955345,0.08980311444522257,1.557283768032595,11.567499999999992,1.0
2.2666499999999985,0.24285977850566864,-14.280101376614581,0.023037686219977215,1.5599296462949594,11.649999999999991,1.0
2.382324999999999,0.2436903752608279,-14.163604337557658,0.032306325625268195,1.5636666805116624,11.732499999999991,1.0
2.498824999999999,0.24412964838535486,-14.046280159895412,0.029060657365039662,1.5670522470946895,11.81499999999999,1.0
2.6161499999999998,0.24420973076587885,-13.928130187035439,0.02613489895665864,1.5701185241147795,11.89749999999999,1.0
2.7342999999999997,0.24395743179735563,-13.809155454548955,0.023685223648652103,1.5729169332888677,11.97999999999999,1.0
2.853274999999999,0.24298038864559077,-13.689359438811037,0.0507258069539914,1.5789520361712188,12.06249999999999,1.0
2.9730749999999992,0.2419933945488532,-13.56873847683654,0.00022300842391440612,1.5789787525804038,12.144999999999989,1.0
3.0936999999999997,0.2407800850125999,-13.447294537588963,0.01498808961400346,1.580786690890093,12.227499999999988,1.0
3.215149999999999,0.23934937342077484,-13.325027908088755,0.014085404852556441,1.582497363309436,12.309999999999988,1.0
3.3374249999999996,0.23763017204419234,-13.201939913765074,0.018526355380330244,1.5847626734135658,12.392499999999988,1.0
3.4605249999999987,0.235371458732941,-13.078035499642018,0.034615082661232546,1.5890237900891635,12.474999999999987,1.0
3.584449999999999,0.2330016966426131,-12.953308009778576,0.006211565483734516,1.5897935583417353,12.557499999999987,1.0
3.7091999999999983,0.2305266749245438,-12.82775740288042,0.005719877754994078,1.5905071130916708,12.639999999999986,1.0
3.8347749999999983,0.22810141330016231,-12.70138067200779,-0.0041601625853683,1.5899847006750132,12.722499999999986,1.0
3.961174999999998,0.2254321599437532,-12.574183676321889,0.01419096758742588,1.5917784389780638,12.804999999999986,1.0
4.088399999999997,0.22266347976930762,-12.446163611839435,0.005041781997163768,1.592419879692653,12.887499999999985,1.0
4.216449999999998,0.21981001538230222,-12.317320205465682,0.0040577144934816735,1.5929394700335433,12.969999999999985,1.0
4.345324999999997,0.2168610031109581,-12.187653735911585,0.004624609284120339,1.5935354665550343,13.052499999999984,1.0
4.475024999999998,0.21388185416947744,-12.057162738917215,0.0006723012553725531,1.5936226640278561,13.134999999999984,1.0
4.605549999999998,0.21088867507894699,-11.925846847346804,-0.00028004340540268793,1.593586111362366,13.217499999999983,1.0
4.736899999999999,0.20789820414971513,-11.793705681510335,-0.0012391810423835782,1.5934233449324489,13.299999999999983,1.0
4.869074999999998,0.20497256757521587,-11.660737863408984,-0.004751097168467452,1.5927953686642067,13.382499999999983,1.0
5.002074999999998,0.20208788071498401,-11.526943957693073,-0.003321107429817495,1.592353661376041,13.464999999999982,1.0
5.135899999999998,0.19925789318566448,-11.3923237004114,-0.004023365611262168,1.5918152344731138,13.547499999999982,1.0
5.270549999999997,0.19657417534204008,-11.25687528482991,-0.008970821731069252,1.5906073133270253,13.629999999999981,1.0
5.406024999999998,0.1939622601888103,-11.120600313176153,-0.0047745068460153675,1.5899604870120614,13.71249999999998,1.0
5.542324999999997,0.19151846837299064,-10.983497091089431,-0.009842852844704953,1.588618906169328,13.79499999999998,1.0
5.6794499999999974,0.18914694009314217,-10.845567477323504,-0.0045981130289350185,1.5879883899202354,13.87749999999998,1.0
5.817399999999997,0.1868524811472352,-10.706811446524314,-0.004767290613868639,1.5873307421800522,13.95999999999998,1.0
5.956174999999997,0.18471899175909767,-10.567227750402488,-0.009014196519883378,1.5860797970580054,14.042499999999979,1.0
6.095774999999996,0.18265115567551804,-10.42681797624509,-0.003992713918886083,1.585522414194929,14.124999999999979,1.0
6.236199999999996,0.18064797898189403,-10.285582181266856,-0.0038727439912143733,1.5849785841199626,14.207499999999978,1.0
6.377449999999995,0.178762859997577,-10.14351968814705,-0.006466479031661047,1.5840651939567405,14.289999999999978,1.0
6.5195249999999945,0.17691884758866847,-10.000631586409236,-0.0025640922396709923,1.5837009005517892,14.372499999999977,1.0
6.6624249999999945,0.17507520995519107,-9.856918411559898,-0.0005366395568490211,1.5836242147591155,14.454999999999977,1.0
6.806149999999995,0.17327007307231695,-9.712379683252104,-0.0023627600671761746,1.5832846270684606,14.537499999999977,1.0
6.950699999999996,0.17152234033755406,-9.567015189460506,-0.003222230634436949,1.5828188536302528,14.619999999999976,1.0
7.0960749999999955,0.16978428234228402,-9.420825521034843,-0.0009219274908560767,1.5826848284212696,14.702499999999976,1.0
7.242274999999996,0.16805297573368436,-9.273810714969512,-0.0007704250441956015,1.5825721922798082,14.784999999999975,1.0
7.389299999999995,0.16632462608990112,-9.125970817419802,-0.0005829840748101435,1.5824864790462092,14.867499999999975,1.0
7.537149999999995,0.16457810849896387,-8.977306076134909,0.00038779602121924987,1.5825438146879465,14.949999999999974,1.0
7.685824999999994,0.1627956600366835,-8.827816702340384,0.0011806072752641305,1.5827193414745964,15.032499999999974,1.0
7.835324999999994,0.16098802161355724,-8.677502571040858,0.0006832379369754222,1.5828214855461742,15.114999999999974,1.0
7.9856499999999935,0.15914146316036756,-8.526363850913027,0.0012763895750367825,1.5830133588090416,15.197499999999973,1.0
8.136799999999992,0.15727352686332613,-8.374400330820242,0.000491919425835969,1.5830877124302567,15.279999999999973,1.0
8.288774999999992,0.15538375672130414,-8.221612017233076,0.0005036046358779481,1.5831642477447943,15.362499999999972,1.0
8.441574999999991,0.153491888401251,-8.067998666708913,-0.00034530750839997906,1.5831114847575107,15.444999999999972,1.0
8.59519999999999,0.15160256616584422,-7.913560222785482,-0.000535532773637432,1.5830292135351607,15.527499999999971,1.0
8.74964999999999,0.14974683388885346,-7.758296312353225,-0.0018215588631608976,1.5827478737687455,15.609999999999971,1.0
8.90492499999999,0.1479128324505717,-7.602207086463914,-0.001303419892400629,1.582545485244953,15.69249999999997,1.0
9.061024999999988,0.1461443568398767,-7.445292051750811,-0.0030708550931976544,1.5820661247649048,15.77499999999997,1.0
9.217949999999988,0.14442129108221832,-7.2875514623503825,-0.0022100903904321094,1.5817193063303863,15.85749999999997,1.0
9.375699999999988,0.14279586670771183,-7.12898479302608,-0.004263752215010092,1.5810466994184684,15.93999999999997,1.0
9.534274999999987,0.1412182736197701,-6.969592599992517,-0.0022269602917171904,1.5806935591902094,16.02249999999997,1.0
9.693674999999986,0.13974313589715603,-6.809374390685025,-0.004331483259488508,1.580003120758647,16.10499999999997,1.0
9.853899999999987,0.13835029273451482,-6.648330413809377,-0.003483677656588972,1.57944494850612,16.187499999999968,1.0
10.014949999999986,0.1368535679556629,-6.486462333447817,0.003711184596050146,1.5800426347853138,16.269999999999968,1.0
10.176824999999987,0.13547100255283984,-6.323768207822745,-0.004624367943232185,1.579294065224503,16.352499999999967,1.0
10.339524999999986,0.13412158110492187,-6.160248775684678,-0.0015093077251134021,1.5790485008576272,16.434999999999967,1.0
10.503049999999986,0.13279461328281109,-5.995904132764993,-0.0010888261864968913,1.5788704505554803,16.517499999999966,1.0
10.667399999999985,0.1314245427099033,-5.8307348149979665,0.001342452124524224,1.5790910825621458,16.599999999999966,1.0
10.832574999999984,0.1300046022903827,-5.664740888093381,0.0015692840759435824,1.5793502890593898,16.682499999999965,1.0
10.998574999999983,0.1224349497077487,-5.498087712351729,0.22190621548117442,1.6161867208292646,16.599999999999966,0.0
11.165399999999982,0.11737669378689668,-5.332164796372534,-0.08940060160338979,1.6012724654667791,16.517499999999966,0.0
11.33139999999998,0.11309547784744532,-5.167045288696791,-0.0274335092208494,1.5967185029361182,16.599999999999966,1.0
11.49657499999998,0.10973796464274078,-5.001079246672887,-0.03447745532827171,1.591023689252271,16.682499999999965,1.0
11.66257499999998,0.10683834858109956,-4.834279447956897,-0.017140379125375534,1.5881783863174586,16.764999999999965,1.0
11.82939999999998,0.10405373323252554,-4.666652575357781,-0.004625210951236666,1.5874067855005185,16.847499999999965,1.0
11.99704999999998,0.10137602741119914,-4.49819885614525,-0.004270814987643426,1.58669078336784,16.929999999999964,1.0
12.16552499999998,0.0986561406549431,-4.328920705706296,0.0010192636977537524,1.5868625038193191,17.012499999999964,1.0
12.334824999999979,0.09586400798740936,-4.158818619827943,0.002048445681040785,1.5872093056731194,17.094999999999963,1.0
12.504949999999978,0.0931730184358757,-3.987889801089752,-0.003943835196788801,1.5865383607102657,17.177499999999963,1.0
12.675899999999977,0.0902090481363626,-3.8161403745839744,0.008855102565096253,1.5880521404937689,17.259999999999962,1.0
12.847674999999978,0.08666677747764645,-3.643576727431452,0.019028567853036697,1.5913207727367242,17.342499999999962,1.0
13.020274999999977,0.08304345214622098,-3.4701895821797275,0.0021426724622398245,1.5916905980037068,17.42499999999996,1.0
13.193699999999977,0.079282094055973,-3.295980183221701,0.003998222069933878,1.592383989666185,17.50749999999996,1.0
