x,y,curvature,max_speed
7.274345328984107573e-01,1.015245800282532151e+01,1.727198683516850131e-01,1.191607859063910446e+01
7.563211921987362807e-01,1.045106403242698079e+01,1.742876046481579844e-01,1.186236430330417235e+01
7.812001136341142349e-01,1.075003065141346958e+01,4.471029861546653439e-02,2.342074592634321561e+01
8.086918859090623801e-01,1.104876833309621631e+01,2.914290418026751692e-02,2.900935641086888239e+01
8.964773092679435562e-01,1.133563715232497415e+01,6.827860732687421885e-01,5.993247058339067124e+00
9.508059328169838897e-01,1.163067681180021573e+01,3.826677125823771397e-01,8.005594673909996573e+00
9.911902471778979429e-01,1.192794623026366807e+01,1.569050919708563918e-01,1.250218696002817431e+01
1.024973532747448735e+00,1.222603797724121577e+01,7.391169680533872521e-02,1.821578626066647999e+01
1.054374351500247053e+00,1.252459382102368934e+01,4.896635433967819195e-02,2.237977018693337428e+01
1.082181434182158952e+00,1.282330231797802966e+01,1.778922428220758301e-02,3.713009006777051724e+01
1.105903050455295578e+00,1.312236298894863751e+01,4.556241454445672523e-02,2.320070288816445370e+01
1.127806342442243315e+00,1.342156233019145262e+01,2.026227003447917188e-02,3.479048303510158036e+01
1.148756567598351541e+00,1.372082991625099879e+01,1.061674509470167740e-02,4.700000000000000000e+01
1.168781636157882664e+00,1.402016083117491085e+01,1.030357287499811432e-02,4.700000000000000000e+01
1.188323645396991868e+00,1.431952367101128587e+01,5.379034597860694530e-03,4.700000000000000000e+01
1.207913442101089307e+00,1.461888338751484717e+01,5.321047116121967267e-04,4.700000000000000000e+01
1.282626607759277837e+00,1.490943104776584960e+01,6.202586219112276034e-01,6.288080647264776779e+00
1.337092478721313649e+00,1.520444540148503165e+01,2.303792613939190381e-01,1.031769812722981428e+01
1.381402636287722530e+00,1.550115504058770810e+01,1.144026391312825686e-01,1.464153083373262909e+01
1.403164212283112056e+00,1.580036472260050218e+01,2.520750293501851091e-01,9.863694092491209986e+00
1.435395026818846897e+00,1.609862832177807945e+01,1.167988818786750288e-01,1.449055986367436155e+01
1.465697550994183196e+00,1.639709399321887062e+01,2.154277087547442140e-02,3.374067190743728872e+01
1.493546559003875895e+00,1.669579858433336383e+01,2.739023928491818652e-02,2.992310075185455531e+01
1.519656390831809922e+00,1.699466021901054447e+01,1.940280134994710332e-02,3.555267553694945803e+01
1.543445602931333482e+00,1.729371552056476347e+01,2.587429913937943499e-02,3.078720125066924851e+01
1.563076709759184224e+00,1.759307253091313328e+01,4.632263085428914295e-02,2.300953804799387115e+01
1.585164847798225196e+00,1.789225828284321551e+01,2.736658280042701327e-02,2.993603116525328289e+01
1.653458352834202616e+00,1.818438153965427517e+01,5.193555808275853725e-01,6.871825246095801809e+00
1.743420566730717658e+00,1.847057518051800429e+01,2.496153309645540719e-01,9.912173159381065801e+00
1.793136024996295319e+00,1.876642712526308188e+01,4.598824558193805867e-01,7.302660101297306028e+00
1.826977914613958642e+00,1.906451222470132123e+01,1.781098154467807004e-01,1.173439170301454482e+01
1.850411300325797148e+00,1.936359561847984523e+01,1.161807580312931992e-01,1.452905624974227372e+01
1.877457286604788500e+00,1.966237398889208876e+01,4.028283050575164753e-02,2.467428169239039093e+01
1.901804865030908731e+00,1.996138434895472002e+01,3.009290991148050667e-02,2.854778488194154917e+01
1.924668864058259432e+00,2.026051180932651263e+01,1.653548490592271145e-02,3.851199711771133849e+01
1.944958250047088333e+00,2.055982492433518871e+01,2.868109013186383519e-02,2.924197361287118468e+01
1.965521783319347016e+00,2.085911932972787497e+01,3.053166393838246256e-03,4.700000000000000000e+01
1.976331175534841611e+00,2.115892452821504577e+01,1.085278466517257540e-01,1.503259354266180381e+01
1.997904042596725827e+00,2.145814787524319911e+01,1.197687802688280068e-01,1.430977135904315567e+01
2.024189769863519395e+00,2.175699409078232094e+01,5.253250548226112010e-02,2.160679994021578310e+01
2.049476518032400829e+00,2.205592649178134934e+01,1.114099964229272981e-02,4.691831728878722885e+01
1.993700831456943101e+00,2.235069601664278593e+01,9.018806047568944662e-01,5.214707872900624430e+00
1.980794387486237040e+00,2.265041826090241983e+01,4.794932241108113002e-01,7.151765581390570503e+00
2.012822331129607623e+00,2.294870371282050669e+01,4.995261411966891441e-01,7.006891582261647322e+00
2.066741900799990095e+00,2.324381840240162589e+01,2.457784367843575679e-01,9.989243947946045310e+00
2.133727573200861372e+00,2.353624432412027900e+01,1.482209366851684196e-01,1.286322100224158760e+01
2.207626422115075204e+00,2.382700016693199885e+01,7.902271361241022807e-02,1.761686143684703154e+01
2.288656522690122319e+00,2.411584982125202359e+01,8.201799321999055092e-02,1.729218760294237711e+01
2.378062204006415215e+00,2.440221780854873401e+01,9.706115163392028955e-02,1.589577797299821960e+01
2.480450847532004843e+00,2.468420462681687511e+01,1.522473417168906107e-01,1.269198788258321464e+01
2.596409357755133041e+00,2.496088788237606693e+01,1.618828488146078215e-01,1.230847049060033882e+01
2.725398910836393629e+00,2.523174152402759773e+01,1.586176691708580111e-01,1.243451143718663054e+01
2.867217790788801235e+00,2.549610378549667544e+01,1.597566222433673411e-01,1.239010746488575876e+01
2.949737035182497635e+00,2.578453154821152538e+01,7.110759650695024359e-01,5.872817542477903885e+00
3.092183045684181675e+00,2.604855642221425072e+01,7.189428344569565033e-01,5.840598172797014875e+00
3.270286614140018422e+00,2.628996710736156928e+01,4.691551346312010651e-01,7.230132747183559694e+00
3.469441216992930954e+00,2.651432718438620029e+01,3.010002433328680671e-01,9.026535295854968055e+00
3.685724770009205287e+00,2.672222481471097311e+01,2.639708843476213374e-01,9.638878242500053872e+00
3.912520034379535883e+00,2.691860176870301302e+01,1.732842019950410206e-01,1.189665925544086988e+01
4.149286470216519973e+00,2.710283437944566032e+01,1.745927654577755506e-01,1.185199299199515366e+01
4.394981088916210865e+00,2.727498011521048582e+01,1.669645471200747744e-01,1.211971412872490639e+01
4.648616930255954571e+00,2.743519515816176479e+01,1.592437560184499223e-01,1.241004344123321346e+01
4.928120399837327525e+00,2.754418052640895098e+01,6.376668274703346517e-01,6.201654899714196922e+00
5.199679493119960583e+00,2.767167820817420676e+01,2.238327380834965741e-01,1.046749360783265104e+01
5.471273536718716635e+00,2.779910142223537051e+01,9.140172818330056506e-04,4.700000000000000000e+01
5.745254699207574589e+00,2.792130748837471543e+01,6.374812418786487966e-02,1.961420919807461871e+01
6.022293020777413908e+00,2.803641512661721436e+01,8.587523267398899929e-02,1.689937116765965541e+01
6.302265167889198771e+00,2.814419080495707703e+01,8.774610421831623153e-02,1.671824118306119544e+01
6.585168432909979330e+00,2.824401937121234241e+01,9.411579594891820999e-02,1.614259118489044198e+01
6.872606782573924100e+00,2.832992161299023692e+01,1.627349227507128571e-01,1.227620485543322104e+01
7.164825530331155434e+00,2.839780536258611221e+01,2.071315757783391831e-01,1.088131426620357090e+01
7.457909872193679846e+00,2.846184885214603000e+01,4.374004338079529736e-02,2.367908428092070139e+01
7.752202167355807028e+00,2.852009011765603930e+01,6.585145563922312206e-02,1.929842286156906894e+01
8.047700135501662189e+00,2.857186801662530584e+01,7.305397495867090030e-02,1.832240937588301222e+01
8.344228417816296428e+00,2.861737601358773730e+01,7.059991471836087051e-02,1.863813357122833025e+01
8.641713193411298732e+00,2.865614208495421522e+01,7.566041753977838236e-02,1.800404713227834819e+01
8.939932250857035356e+00,2.868878245529795379e+01,6.855058766097427148e-02,1.891467645750385529e+01
9.238817472248113560e+00,2.871462088470081042e+01,7.593871389030135144e-02,1.797102669180705092e+01
9.538222609710528488e+00,2.873350377804671396e+01,7.749933855613803935e-02,1.778916281798245436e+01
9.838158404641109911e+00,2.873971013924798612e+01,1.409737146335693636e-01,1.318971575206035318e+01
