s,x,y,curvature,heading,velocity
0.0,0.2035129399732909,-15.668471169368248,0.0,1.7272964459235265,40.0
1.0000000000000007,0.2245795652642915,-14.668693095344393,0.0,1.5497281429550815,40.0
2.0000000000000004,0.26430098958377474,-13.66948230254338,-0.018663693257514605,1.531064449697567,32.42194562104955
3.0,0.22640578356005647,-12.670200583827171,0.07763615886775457,1.6087006085653215,15.896982074527957
3.9999999999999996,0.20686774521092563,-11.67039146951711,-0.018365000149054296,1.5903356084162672,32.684527405818876
5.0,0.18300405586443227,-10.670676247901087,0.004326673270825586,1.5946622816870928,40.0
6.0,0.17218481672724267,-9.670734777581702,-0.013046504667860942,1.5816157770192318,38.778032569798
7.0,0.16095343799470127,-8.670797851504979,0.0004121646498707053,1.5820279416691025,40.0
8.0,0.14867291421831827,-7.670873259980309,0.0010492175966798638,1.5830771592657824,40.0
9.0,0.1372211203786173,-6.670938833921353,-0.0008287883115343229,1.582248370954248,40.0
10.0,0.1297062740668432,-5.670967070777557,-0.003937127114900241,1.5783112438393478,40.0
11.0,0.08510407218087988,-4.671962244169135,0.03710208637522426,1.6154133302145721,22.995586084201243
12.0,0.09388682775275939,-3.672000813310642,-0.053399871907744444,1.5620134583068277,19.16793497803773
13.0,0.06432154074988206,-2.6724379619578933,0.03835246438614636,1.600365922692974,22.61763556445825
14.0,0.044144032460726804,-1.6726415486020336,-0.009390718207004769,1.5909752044859693,40.0
15.0,0.031195897697297907,-0.6727253792127452,-0.007230381098829231,1.58374482338714,40.0
16.0,0.09526793405071057,0.3252198969209349,-0.07706445249221239,1.5066803708949277,15.955838620921538
17.0,0.14012470330280932,1.3242133254540078,0.019244130070811494,1.5259245009657392,31.929276382957383
18.0,0.313376374494876,2.309090910958499,-0.12925849042380658,1.3966660105419326,12.320214858602029
19.0,0.5765760401525875,3.273832293919585,-0.09220699814147947,1.3044590124004531,14.586973862837208
20.0,0.9556503353659662,4.199198534231215,-0.12245841100379072,1.1820006013966624,12.657659783340081
21.0,1.4320856101509585,5.078408082030003,-0.10780004604799684,1.0742005553486655,13.490809631049238
22.0,2.0059383943417073,5.897366555993442,-0.11460686503352654,0.959593690315139,13.08405286948515
23.0,2.6678205850723957,6.646974430547561,-0.11212425019488995,0.847469440120249,13.228109734064882
24.0,3.4107830528026017,7.316307510220337,-0.11415866613377305,0.733310773986476,13.109712166229126
25.0,4.223525616437535,7.89893048029285,-0.11135849498469186,0.6219522790017842,13.27351286691366
26.0,5.094764253283605,8.38979017273724,-0.10887605265798618,0.513076226343798,13.423980839463638
27.0,6.013786781204711,8.783995186877723,-0.10787357007541859,0.4052026562683795,13.486211384557155
28.0,6.970092336536146,9.076364276971455,-0.10849941752419655,0.296703238744183,13.447259840999292
29.0,7.952696489164712,9.262076633149224,-0.10990645840659065,0.1867967803375923,13.360906322395373
30.0,8.949827556241276,9.337770986113972,-0.11102995686035999,0.07576682347723226,13.293136375480703
31.0,9.949227639257757,9.303137561988553,-0.11040717499146566,-0.03464035151423336,13.330575100603284
