step,x,y
0,0.359375,-16.65625
1,-0.32211131175128016,-15.433312386343589
2,0.11130369843169707,-14.10209060581711
3,-0.1498796910769497,-12.72666949319568
4,0.08594394953773202,-11.346674127070402
5,-0.1348752419531703,-9.964198490876656
6,0.060352104566402914,-8.57787735810441
7,-0.07640971571501332,-7.184573297781138
8,0.05753778471352275,-5.790995862857284
9,-0.03847020894256173,-4.394291719112399
10,0.026791975208597288,-2.9958136723344664
11,-0.04448326862202957,-1.597629192511834
12,0.027627231046153444,-0.19948754166324933
13,0.10395587674209332,1.198430173313646
14,0.33885134989233684,2.578583830227804
15,0.7966710588695396,3.9016110839425675
16,1.4442293508340087,5.142847668364755
17,2.288736091334558,6.259453402386007
18,3.290504728840706,7.237440926288575
19,4.440015550795869,8.036581008006396
20,5.691825991076957,8.663454696721491
21,7.0271383733367765,9.08409806322524
22,8.409424924312498,9.30609781771079
23,9.809416283102866,9.301178944638766
24,11.193774530008644,9.092487200135157
25,12.52710450563179,8.665601763390374
26,13.782713246386372,8.046371038909832
27,14.923160759656179,7.234349198392774
28,15.934668944694113,6.266438463045105
29,16.778400337496645,5.149246744135812
30,17.447514099936967,3.9194960487048407
31,17.90988610364285,2.598052848945954
32,18.176884472145275,1.2237487082198033
33,18.217199184024015,-0.17567071568645898
34,18.052598520532946,-1.5659608370562041
35,17.666635776815607,-2.911707009431286
36,17.09450432432931,-4.189465046414783
37,16.320204193250344,-5.355852335016257
38,15.38597797299633,-6.3985514140366115
39,14.29195251141435,-7.27211210993034
40,13.088117158591519,-7.986801163501146
41,11.780394205212383,-8.486661821290244
42,10.416691869343754,-8.803388737018047
43,9.018846127158032,-8.881024302664521
44,7.622686062838814,-8.777404445493422
45,6.268379592771982,-8.422645393269075
46,4.967944571227591,-7.904119834843226
47,3.787919861929881,-7.150766209082485
48,2.6985607911476497,-6.27139324218819
49,1.8130968916109764,-5.186979260990369
50,1.0357555323295173,-4.022616597920802
51,0.5152344039820657,-2.7229790503930706
52,0.13012465817229574,-1.376988528999129
53,0.02520171028180937,0.01907421135531906
54,0.07403483693855906,1.4182222827691084
55,0.39046217346326056,2.7819941627768623
56,0.8597700882089407,4.10099002370936
57,1.5734444416902431,5.305427202304842
58,2.422673206281462,6.418445847876816
59,3.4663197759104856,7.351613484318186
60,4.615334192762408,8.151467139599225
61,5.892331674226902,8.7252941451796
62,7.228889280972856,9.141963995120209
63,8.618972931679162,9.308299331230819
64,10.018927965760236,9.297078700630879
65,11.392212434342095,9.02488434295269
66,12.723458879565968,8.591545097004662
67,13.950437941800606,7.91736234667816
68,15.097934605983527,7.115332792553707
69,16.064314988482156,6.102362429551015
70,16.922113228277265,4.995934763680166
71,17.527131790015915,3.7334164311591316
72,17.991035136902255,2.4125100435798856
73,18.157590377604528,1.0224527239723062
74,18.204570521869563,-0.3767587918625359
75,17.952892216656977,-1.7539508738486764
76,17.613717232442596,-3.1122440417926125
77,16.962048885607363,-4.351327721667799
78,16.2462946262331,-5.554530048871169
79,15.21770807521962,-6.5042719649063585
80,14.175109814879589,-7.438610697666559
81,12.919950764639802,-8.058752422275667
82,11.617127874768526,-8.571248780923668
83,10.247863683793328,-8.862994518361319
84,8.848839592310297,-8.915259147414599
85,7.455499840035123,-8.778861439480199
86,6.105375797933437,-8.408503408732914
87,4.819260473988703,-7.855414470573297
88,3.6425533302536204,-7.096889389984117
89,2.5670632284807686,-6.200607603385381
90,1.6742956682309027,-5.122198551417854
91,0.8968071093148811,-3.9579341739010077
92,0.4592538718831677,-2.628066825473719
93,0.11796553635117524,-1.2703031228988557
94,-0.004280289380856658,0.12434950700261704
95,-0.24385802594573752,1.5036980880880688
96,-0.39402827374440974,2.8956208218186754
97,-0.9730554816358162,4.170268809508407
98,-1.571799856468993,5.435774705822458
99,-2.5375281813250474,6.449366735472809
100,-3.5046257986131533,7.4616523664266765
101,-4.731439082299568,8.136136737609997
102,-5.953754381436971,8.81873860509546
103,-7.325032435937164,9.100867117029587
104,-8.697721484900235,9.376048466064834
105,-10.091327868707742,9.242402489653411
106,-11.481162249215538,9.073997042121244
107,-12.771971746880986,8.531953832831917
108,-14.044175121455567,7.947575039820866
109,-15.119486195796561,7.051078473514216
110,-16.15281524114537,6.10649862827162
111,-16.901265059168253,4.923357525147604
112,-17.593964974955295,3.70673645568159
113,-17.95172913642339,2.3532207355035673
114,-18.254430803916147,0.9863367973079706
115,-18.195674296388592,-0.41242968528416135
116,-18.077880511485166,-1.807465392439403
117,-17.601650947575624,-3.1239779835142203
118,-17.04482934880984,-4.408481664765434
119,-16.17529503935025,-5.505710029634221
120,-15.24367038187008,-6.550734190874026
121,-14.091246699821777,-7.345667934688082
122,-12.90311299368339,-8.08616661553624
123,-11.570583401835691,-8.515543940100782
124,-10.217439714400852,-8.87471264858643
125,-8.817477722312866,-8.864396607241252
126,-7.420105976540002,-8.778651612543602
127,-6.096986227623674,-8.321099287636828
128,-4.785683848754219,-7.830705495698851
129,-3.6613974384580548,-6.996451297253698
130,-2.5531015823601098,-6.141068169435453
131,-1.734762148557729,-5.005145385491051
